cluster	rank	gene	score	logfoldchange	pval	pval_adj
9	5	CTSW	39.81538009643555	3.856238842010498	0.0	0.0
9	6	GNLY	38.710750579833984	6.352152347564697	0.0	0.0
9	7	KLRD1	38.17885971069336	4.421533584594727	0.0	0.0
9	8	CST7	38.12881088256836	3.6098523139953613	0.0	0.0
9	9	CD247	37.03879165649414	3.150028944015503	2.7210340123227098e-300	8.216313368764662e-297
9	10	FCGR3A	36.836788177490234	3.9792537689208984	4.759913562275244e-297	1.2935541096839202e-293
9	11	GZMH	35.51227951049805	4.0181803703308105	3.177272054711038e-276	7.849595032620652e-273
9	12	SPON2	34.239837646484375	5.0548295974731445	6.178806940223871e-257	1.3992938117293662e-253
9	13	KLRF1	33.332672119140625	5.029656887054443	1.2987195059744388e-243	2.7149231764893345e-240
9	14	HOPX	32.992069244384766	3.5076513290405273	1.0553836439158338e-238	2.0486504219326216e-235
9	15	CLIC3	32.623878479003906	3.725693702697754	1.8811488198612884e-233	3.408140021903358e-230
9	16	EFHD2	32.51179122924805	3.0179784297943115	7.265748557920292e-232	1.2340873925627615e-228
9	17	CX3CR1	32.22611618041992	4.5430684089660645	7.60305792199362e-228	1.2154158946358743e-224
9	18	IFITM2	31.113685607910156	2.0279228687286377	1.572798326229174e-212	2.3745759618668908e-209
9	19	TRBC1	30.45782470703125	3.109917402267456	9.436637328341381e-204	1.349737137026344e-200
9	20	GZMA	29.84004020690918	2.9798600673675537	1.1821259858812727e-195	1.6062727896154732e-192
10	1	SAT1	39.181800842285156	3.798614740371704	0.0	0.0
10	2	PLAUR	38.863677978515625	5.596673965454102	0.0	0.0
10	3	FTH1	38.398536682128906	3.2356183528900146	0.0	0.0
10	4	NAMPT	37.61040115356445	4.1837286949157715	1.453361632945017e-309	9.874138934228448e-306
10	5	LYZ	36.229862213134766	4.896273612976074	2.062675729074256e-287	1.1211055122664394e-283
10	6	BCL2A1	35.39066696166992	4.1623992919921875	2.3765004193378276e-274	1.0763962565987467e-270
10	7	FCER1G	35.130619049072266	3.858375310897827	2.298135794101668e-270	8.922019762929562e-267
10	8	AIF1	34.477054595947266	4.015089988708496	1.7710832038358524e-260	6.01636964343039e-257
10	9	SOD2	34.2633171081543	3.9595935344696045	2.762697852395295e-257	8.342119648521615e-254
10	10	CST3	33.670867919921875	4.642161846160889	1.5436823894581503e-248	4.195111261591469e-245
10	11	TIMP1	33.6436882019043	3.9557015895843506	3.8562668189045804e-248	9.52708246095917e-245
10	12	IL1B	33.425785064697266	6.894847869873047	5.788241191125409e-245	1.3108436884168676e-241
10	13	NEAT1	33.42143249511719	2.942835569381714	6.694883591422251e-245	1.3995396652345468e-241
10	14	IFI30	33.31237030029297	3.828049659729004	2.556421707264585e-243	4.962379736901598e-240
10	15	SERPINA1	33.24119186401367	4.193202495574951	2.736574995514725e-242	4.957944138540544e-239
10	16	SPI1	32.485599517822266	3.5199177265167236	1.7031913909785354e-231	2.7227017200725105e-228
10	17	CTSS	32.405521392822266	3.237013101577759	2.294613952449183e-230	3.464357153986611e-227
10	18	LST1	32.265586853027344	3.8354005813598633	2.1268852773519172e-228	3.042117594595563e-225
10	19	CD83	32.02522659301758	3.716968536376953	4.8586332588301487e-225	6.601910872098405e-222
10	20	HLA-DRA	31.3894100189209	3.605084180831909	2.8224394199407863e-216	3.652505413157658e-213
11	1	CTSW	31.32457733154297	3.5316197872161865	2.1597313090404962e-215	5.869285805448452e-211
11	2	CD7	30.192689895629883	3.137624740600586	2.9543468343081906e-200	4.014366478457969e-196
11	3	NKG7	29.34717559814453	4.073261737823486	2.596220638302675e-189	2.3518297355504498e-185
