Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
T/NK	GO:0002438	acute inflammatory response to antigenic stimulus	4/327	22/15651	0.181818181818182	8.7022518765638	5.28090599988999	0.00101617443713667	0.0147539219804117	0.0147539219804117	HLA-E/CD6/CCR7/FCGR3A	4
T/NK	GO:0045069	regulation of viral genome replication	7/327	76/15651	0.0921052631578947	4.40837759536456	4.35096355918212	0.00103700793161405	0.0150181910096187	0.0150181910096187	IFITM1/APOBEC3G/CD28/PABPC1/DDX5/CCL5/IFITM2	7
T/NK	GO:0019882	antigen processing and presentation	8/327	99/15651	0.0808080808080808	3.86766750069502	4.1811740238447	0.00109742238031466	0.015799990118092	0.015799990118092	HLA-E/CCR7/HLA-C/HLA-B/B2M/HLA-A/CST7/CD8A	8
T/NK	GO:0032733	positive regulation of interleukin-10 production	5/327	38/15651	0.131578947368421	6.29768227909223	4.77616698909663	0.00110039122313712	0.015799990118092	0.015799990118092	CD40LG/XCL1/STAT3/CD28/HMGB1	5
T/NK	GO:0042554	superoxide anion generation	5/327	38/15651	0.131578947368421	6.29768227909223	4.77616698909663	0.00110039122313712	0.015799990118092	0.015799990118092	TGFB1/TYROBP/SOD1/RAC2/ITGB2	5
T/NK	GO:0006816	calcium ion transport	18/327	380/15651	0.0473684210526316	2.2671656204732	3.65288850664219	0.00110206730932363	0.015799990118092	0.015799990118092	TGFB1/FLNA/XCL1/PTPRC/CCL3/CCL4/TPT1/MCUB/CXCR3/CCR7/BIN1/LCK/PDE4B/SELENOK/FYN/SARAF/CCL5/CALM1	18
T/NK	GO:0006413	translational initiation	9/327	123/15651	0.0731707317073171	3.50212575520251	4.06957356360213	0.00111126074065893	0.0158521344654996	0.0158521344654996	EIF3F/EIF4B/EIF2S3/PPP1R15A/EIF3L/CCL5/EIF3H/EIF3E/EIF1	9
T/NK	GO:0030168	platelet activation	9/327	123/15651	0.0731707317073171	3.50212575520251	4.06957356360213	0.00111126074065893	0.0158521344654996	0.0158521344654996	CD40LG/FLNA/PLEK/FCER1G/ADGRG1/MYH9/LCK/MYL12A/DGKA	9
T/NK	GO:0002181	cytoplasmic translation	12/327	202/15651	0.0594059405940594	2.8433100190753	3.85184548604256	0.00113458371365276	0.0161444754865402	0.0161444754865402	UBA52/FAU/EIF3F/EEF2/EIF2S3/NPM1/EEF1D/PABPC1/EIF3L/RACK1/EIF3H/EIF3E	12
T/NK	GO:0010586	miRNA metabolic process	8/327	100/15651	0.08	3.82899082568807	4.14569505945779	0.00117164217997207	0.016630324076917	0.016630324076917	TGFB1/MYC/NR3C1/STAT3/ETS1/JUN/DDX5/FOS	8
T/NK	GO:0002200	somatic diversification of immune receptors	6/327	57/15651	0.105263157894737	5.03814582327378	4.46154868474648	0.00117641000137978	0.0166565644364095	0.0166565644364095	TGFB1/CD40LG/NFKBIZ/BATF/CCR6/HMGB1	6
T/NK	GO:0044092	negative regulation of molecular function	12/327	203/15651	0.0591133004926108	2.82930356577936	3.83215127943539	0.0011838189244521	0.0167199771854546	0.0167199771854546	PTPRC/RIPOR2/PDCD4/NOSIP/PTPN22/ZFP36/LEF1/CD300A/JUN/DNAJA1/RACK1/CALM1	12
T/NK	GO:0072677	eosinophil migration	4/327	23/15651	0.173913043478261	8.3238930993219	5.1345121867876	0.00121003640482294	0.0170060781426594	0.0170060781426594	CCL3/CCL4/CD300A/CCL5	4
T/NK	GO:1901623	regulation of lymphocyte chemotaxis	4/327	23/15651	0.173913043478261	8.3238930993219	5.1345121867876	0.00121003640482294	0.0170060781426594	0.0170060781426594	XCL1/CCL3/CCL4/CCL5	4
