gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
SERPING1	16	26	19.9489002227783	5.71079349517822	1.5321933378894e-88	1.18968246144235e-85	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	84.9245689408309	up	710
IGFBP7	17	2	20.0192623138428	7.61915397644043	3.7421958743091e-89	5.0848957540112e-85	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	84.2937179461673	up	3490
TAGLN	16	27	19.8725891113281	8.23871994018555	7.02839623870194e-88	5.30565822730455e-85	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	84.2752607292456	up	6876
SELENOM	16	28	19.7845249176025	3.86475348472595	4.0469149522607e-87	2.89418317743781e-84	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	83.5384739851614	up	140606
EFEMP2	16	29	19.6442737579346	7.90737628936768	6.47150894167325e-86	4.50948017945929e-83	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	82.3458735175907	up	30008
SPARC	17	3	19.6650428771973	8.268479347229	4.29801852783582e-86	3.89343171708221e-82	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	81.4096674375479	up	6678
IFI27	17	4	19.570125579834	7.29311084747314	2.77997259174759e-85	1.88871337883331e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.7238339433146	up	3429
EGFL7	17	5	19.5572471618652	9.26718807220459	3.57880402747148e-85	1.9451515650113e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.7110465530614	up	51162
SPARCL1	17	6	19.5319538116455	9.95140171051025	5.87477414405241e-85	2.66088103564614e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.5749745417272	up	8404
IFITM3	17	7	19.4777011871338	4.59023284912109	1.69729534454675e-84	6.58938546905749e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.1811550861407	up	10410
GSN	16	30	19.219705581665	4.00514888763428	2.53204359298136e-82	1.67831260202101e-79	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	78.7751271444081	up	2934
ID3	16	31	19.1110916137695	4.81202840805054	2.04156207838129e-81	1.29026723353697e-78	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	77.8893203315372	up	3399
IGFBP4	17	8	19.194429397583	6.71384811401367	4.11980908790166e-82	1.39949914716019e-78	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	77.8540273618521	up	3487
CRIP2	17	9	19.1537303924561	6.61224126815796	9.00966701218901e-82	2.72051900803609e-78	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	77.5653482353687	up	1397
LAMA4	16	32	18.9611301422119	7.74125671386719	3.573754755952e-80	2.11131215755982e-77	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	76.6754475514942	up	3910
HSPG2	17	10	19.029935836792	9.90782356262207	9.6370960660232e-81	2.61897722690246e-77	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	76.5818682779297	up	3339
CAV1	16	33	18.9219360351562	6.431480884552	7.52383664688406e-80	4.35037839820684e-77	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	76.3614729662394	up	857
PTMS	16	34	18.8954811096191	3.42684817314148	1.24249160502609e-79	7.03457330378936e-77	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	76.1527622404367	up	5763
GNG11	16	35	18.8748378753662	5.58049201965332	1.83687896291384e-79	1.01875556522748e-76	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	75.9919300057946	up	2791
CAVIN1	17	11	18.9329299926758	7.95743942260742	6.10691131683788e-80	1.5087401995126e-76	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	75.8213855379792	up	284119
S100A13	17	12	18.7023124694824	7.24130821228027	4.74040129130471e-78	9.90962657634591e-75	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	74.0039427106901	up	6284
CD34	17	13	18.673002243042	11.0401964187622	8.21058821339565e-78	1.59379246633743e-74	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	73.797568230363	up	947
VIM	16	36	18.5610332489014	2.17678022384644	6.64141433076098e-77	3.60974151705521e-74	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	73.442523895528	up	7431
LGALS3BP	16	37	18.5505790710449	4.3865647315979	8.06783010984043e-77	4.29904609931419e-74	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	73.3666278978533	up	3959
APOE	4	14	54.9889945983887	7.80296182632446	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	348
C1QC	4	7	56.7681121826172	7.464599609375	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	714
C1QB	4	11	55.7489929199219	7.45835161209106	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	713
APOC1	4	13	55.3936996459961	7.25299549102783	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	341
C1QA	4	8	56.5827560424805	7.18624973297119	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	712
