gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
EPAS1	17	25	17.4043922424316	6.52515554428101	7.64128756997697e-68	6.6986977742482e-65	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	64.1740096158702	up	2034
GSN	17	26	17.3799934387207	4.95139598846436	1.16965153079713e-67	9.93326562529467e-65	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	64.0029079509113	up	2934
ID3	17	27	17.3029155731201	4.67812967300415	4.47179729253308e-67	3.68259282490542e-64	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	63.4338462973472	up	3399
CLEC14A	17	28	17.2406349182129	11.5360136032104	1.31582614727148e-66	1.05173209936029e-63	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	62.978094871006	up	161198
CDH5	17	29	16.9893264770508	13.6052436828613	9.85140058405775e-65	7.64919035063867e-62	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	61.1163845314946	up	1003
RNASE1	17	30	16.9808578491211	4.93823909759521	1.13809069515048e-64	8.59132020316926e-62	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	61.0659400942717	up	6035
CALD1	16	1	26.0553359985352	9.8865556716919	1.17050549655221e-149	3.1809657374303e-145	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	144.497441008706	up	800
COL1A2	16	2	25.0157012939453	13.2161684036255	4.12549680442478e-138	5.6057250578524e-134	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	133.251368206752	up	1278
SPARC	16	3	24.8844890594482	9.05052375793457	1.09529896375072e-136	9.92194821296322e-133	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	132.003403044069	up	6678
COL3A1	16	4	24.0304183959961	12.7632522583008	1.33771799351376e-127	9.08845604793248e-124	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	123.041509888705	up	1281
