Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Myeloid/TAM | ref:Classical Mono_C1	GO:0042119	neutrophil activation	10/243	40/15651	0.25	16.1018518518519	12.0096959421033	3.81172247805987e-10	2.1969382282636e-08	2.1969382282636e-08	SPI1/FCGR2B/TYROBP/STXBP2/FCER1G/LILRA2/GRN/ITGAM/SYK/ITGB2	10
Myeloid/TAM | ref:Classical Mono_C1	GO:0050672	negative regulation of lymphocyte proliferation	12/243	67/15651	0.17910447761194	11.5356550580431	10.852921147438	4.21680276593195e-10	2.40610765824077e-08	2.40610765824077e-08	LILRB1/FCGR2B/TYROBP/HLA-DRB1/LGALS9/LST1/LYN/LILRB4/LILRB2/MNDA/VSIG4/CEBPB	12
Myeloid/TAM | ref:Classical Mono_C1	GO:0032602	chemokine production	13/243	83/15651	0.156626506024096	10.0879071842927	10.4249430334384	4.46398809031533e-10	2.49720745522934e-08	2.49720745522934e-08	HMOX1/CLEC7A/IL1B/LGALS9/CSF1R/EGR1/SIRPA/LILRB4/CD74/PYCARD/SYK/GSTP1/AIF1	13
Myeloid/TAM | ref:Classical Mono_C1	GO:0032642	regulation of chemokine production	13/243	83/15651	0.156626506024096	10.0879071842927	10.4249430334384	4.46398809031533e-10	2.49720745522934e-08	2.49720745522934e-08	HMOX1/CLEC7A/IL1B/LGALS9/CSF1R/EGR1/SIRPA/LILRB4/CD74/PYCARD/SYK/GSTP1/AIF1	13
Myeloid/TAM | ref:Classical Mono_C1	GO:0032945	negative regulation of mononuclear cell proliferation	12/243	68/15651	0.176470588235294	11.3660130718954	10.757908497704	5.05069440288122e-10	2.79798662746022e-08	2.79798662746022e-08	LILRB1/FCGR2B/TYROBP/HLA-DRB1/LGALS9/LST1/LYN/LILRB4/LILRB2/MNDA/VSIG4/CEBPB	12
Myeloid/TAM | ref:Classical Mono_C1	GO:0032928	regulation of superoxide anion generation	8/243	21/15651	0.380952380952381	24.5361552028219	13.5535433895115	5.14542181752603e-10	2.82305547026957e-08	2.82305547026957e-08	TYROBP/CLEC7A/GNAI2/ITGAM/SYK/CYBA/ITGB2/GSTP1	8
Myeloid/TAM | ref:Classical Mono_C1	GO:0032755	positive regulation of interleukin-6 production	13/243	84/15651	0.154761904761905	9.96781305114638	10.3492981661365	5.20929111397500e-10	2.83087762822299e-08	2.83087762822299e-08	POU2F2/TYROBP/CLEC7A/IL1B/LGALS9/LILRA2/CD74/SCIMP/PYCARD/LILRB2/SYK/CYBA/AIF1	13
Myeloid/TAM | ref:Classical Mono_C1	GO:0002468	dendritic cell antigen processing and presentation	7/243	14/15651	0.5	32.2037037037037	14.6683281786746	6.24211561051629e-10	3.36014261071754e-08	3.36014261071754e-08	SLC11A1/FCGR2B/HLA-DRB1/CD68/CD74/MPEG1/HLA-DRA	7
Myeloid/TAM | ref:Classical Mono_C1	GO:0001906	cell killing	19/243	209/15651	0.0909090909090909	5.85521885521886	8.8739576735078	6.59422832486191e-10	3.51651091791234e-08	3.51651091791234e-08	SPI1/ARRB2/LILRB1/FCGR2B/TYROBP/STXBP2/FCGR3A/HLA-DRB1/LGALS9/NFKBIZ/FCGR2A/CTSH/FCGR1A/ITGAM/LYZ/S100A12/CD1D/HLA-DRA/GRB2	19
Myeloid/TAM | ref:Classical Mono_C1	GO:0038093	Fc receptor signaling pathway	11/243	57/15651	0.192982456140351	12.4294996751137	10.8560805081571	9.91393815302059e-10	5.23786399084588e-08	5.23786399084588e-08	FCGR2B/FCGR3A/FCER1G/FCGR2A/PAK1/LYN/FCGR1A/FGR/SYK/CD33/HCK	11
Myeloid/TAM | ref:Classical Mono_C1	GO:0032760	positive regulation of tumor necrosis factor production	14/243	109/15651	0.128440366972477	8.27251104315325	9.56822454947506	1.40939328154223e-09	7.37797987566967e-08	7.37797987566967e-08	CYBB/CCL3/FCGR2B/TYROBP/CLEC7A/FCGR3A/LGALS9/FCGR2A/LILRA2/FCGR1A/CD14/PYCARD/SYK/CYBA	14
Myeloid/TAM | ref:Classical Mono_C1	GO:0045730	respiratory burst	9/243	34/15651	0.264705882352941	17.0490196078431	11.7645774688734	1.69122610123351e-09	8.77285103058037e-08	8.77285103058037e-08	SLC11A1/CYBB/CLEC7A/S100A9/NCF2/GRN/RAC1/CYBA/HCK	9
Myeloid/TAM | ref:Classical Mono_C1	GO:0002218	activation of innate immune response	22/243	303/15651	0.0726072607260726	4.67644542232001	8.11541465685659	2.07282139355376e-09	1.06554224068629e-07	1.06554224068629e-07	ARRB2/NFKBIA/CD36/TYROBP/CLEC7A/S100A9/NFKBIZ/PAK1/LYN/LILRA2/S100A8/NAIP/CTSS/CD14/SCIMP/PYCARD/SYK/CYBA/FCN1/MNDA/PPT1/HCK	22
Myeloid/TAM | ref:Classical Mono_C1	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	14/243	113/15651	0.123893805309735	7.97967879383809	9.35113383643264	2.28165107352512e-09	1.16241973442271e-07	1.16241973442271e-07	CYBB/CCL3/FCGR2B/TYROBP/CLEC7A/FCGR3A/LGALS9/FCGR2A/LILRA2/FCGR1A/CD14/PYCARD/SYK/CYBA	14
Myeloid/TAM | ref:Classical Mono_C1	GO:1903131	mononuclear cell differentiation	26/243	425/15651	0.0611764705882353	3.94021786492375	7.7173507148264	2.60584837403657e-09	1.31583812586307e-07	1.31583812586307e-07	SPI1/FOS/LILRB1/FCGR2B/RHOA/TMEM176B/IL1B/CTSL/HLA-DRB1/LGALS9/NFKBIZ/CSF1R/LYN/LILRB4/CD74/ACTB/ZFP36L1/TNFSF13B/CD1D/PRELID1/LILRB2/SYK/LGALS1/HLA-DRA/CEBPB/CD4	26
Myeloid/TAM | ref:Classical Mono_C1	GO:0042098	T cell proliferation	16/243	156/15651	0.102564102564103	6.60588793922127	8.83686242418198	2.67779345313373e-09	1.3403060915422e-07	1.3403060915422e-07	SLC11A1/HLA-DPB1/LILRB1/HLA-DPA1/IL1B/HLA-DRB1/LGALS9/LILRB4/HLA-DMB/CD1D/PYCARD/LILRB2/AIF1/VSIG4/CEBPB/CD4	16
Myeloid/TAM | ref:Classical Mono_C1	GO:0061900	glial cell activation	10/243	49/15651	0.204081632653061	13.1443688586546	10.6922726737302	3.26942324794476e-09	1.62220252632807e-07	1.62220252632807e-07	LRP1/CCL3/IFNGR2/TYROBP/IL1B/GRN/ZEB2/ITGAM/ITGB2/AIF1	10
Myeloid/TAM | ref:Classical Mono_C1	GO:0002758	innate immune response-activating signaling pathway	21/243	284/15651	0.073943661971831	4.76251956181534	8.03582672924048	3.53859688850556e-09	1.74062360739765e-07	1.74062360739765e-07	ARRB2/NFKBIA/CD36/TYROBP/CLEC7A/S100A9/NFKBIZ/PAK1/LYN/LILRA2/S100A8/NAIP/CTSS/CD14/SCIMP/PYCARD/SYK/CYBA/FCN1/PPT1/HCK	21
Myeloid/TAM | ref:Classical Mono_C1	GO:0045637	regulation of myeloid cell differentiation	16/243	163/15651	0.098159509202454	6.32219950011361	8.5777711417368	5.08474651146789e-09	2.47979176020819e-07	2.47979176020819e-07	SPI1/MEF2C/LILRB1/CCL3/LILRB3/TYROBP/HLA-DRB1/LYN/GLUL/LILRB4/CD74/ZFP36L1/CCR1/MAFB/CEBPB/CD4	16
Myeloid/TAM | ref:Classical Mono_C1	GO:0002761	regulation of myeloid leukocyte differentiation	13/243	101/15651	0.128712871287129	8.29006233956729	9.23025937682161	5.37884984415704e-09	2.60099298396272e-07	2.60099298396272e-07	LILRB1/CCL3/LILRB3/TYROBP/HLA-DRB1/LYN/LILRB4/CD74/ZFP36L1/CCR1/MAFB/CEBPB/CD4	13
Myeloid/TAM | ref:Classical Mono_C1	GO:1902107	positive regulation of leukocyte differentiation	16/243	164/15651	0.0975609756097561	6.2836495031617	8.54199766123999	5.55738652578402e-09	2.6425372930103e-07	2.6425372930103e-07	SPI1/IL13RA1/TYROBP/RHOA/HLA-DRB1/LGALS9/NFKBIZ/LILRB4/CD74/ACTB/ZFP36L1/CCR1/LILRB2/SYK/HLA-DRA/CD4	16
Myeloid/TAM | ref:Classical Mono_C1	GO:1903708	positive regulation of hemopoiesis	16/243	164/15651	0.0975609756097561	6.2836495031617	8.54199766123999	5.55738652578402e-09	2.6425372930103e-07	2.6425372930103e-07	SPI1/IL13RA1/TYROBP/RHOA/HLA-DRB1/LGALS9/NFKBIZ/LILRB4/CD74/ACTB/ZFP36L1/CCR1/LILRB2/SYK/HLA-DRA/CD4	16
Myeloid/TAM | ref:Classical Mono_C1	GO:0042129	regulation of T cell proliferation	15/243	142/15651	0.105633802816901	6.80359937402191	8.72442617882195	5.66574251567376e-09	2.67179560284583e-07	2.67179560284583e-07	HLA-DPB1/LILRB1/HLA-DPA1/IL1B/HLA-DRB1/LGALS9/LILRB4/HLA-DMB/CD1D/PYCARD/LILRB2/AIF1/VSIG4/CEBPB/CD4	15
Myeloid/TAM | ref:Classical Mono_C1	GO:0002695	negative regulation of leukocyte activation	16/243	165/15651	0.096969696969697	6.24556677890011	8.50652020111786	6.06998263060456e-09	2.83896072870735e-07	2.83896072870735e-07	LILRB1/FCGR2B/TYROBP/HLA-DRB1/LGALS9/LST1/LYN/GRN/LILRB4/FGR/LILRB2/LGALS1/CD33/MNDA/VSIG4/CEBPB	16
